title,field,description,skills,responsibilities,videos
Software Developer,Tech,"Develops software applications and systems","Programming,Problem Solving,Debugging","Write code,Test applications,Debug issues","Programming:https://youtube.com/programming,Problem Solving:https://youtube.com/problemsolving"
Data Scientist,Tech,"Analyzes complex data sets to help guide business decisions","Statistics,Machine Learning,Python","Analyze data,Build models,Present findings","Statistics:https://youtube.com/stats,Machine Learning:https://youtube.com/ml"
DevOps Engineer,Tech,"Manages infrastructure and deployment processes","Linux,Automation,Cloud","Deploy applications,Monitor systems,Automate processes","Linux:https://youtube.com/linux,Cloud:https://youtube.com/cloud"
UI/UX Designer,Tech,"Creates user interfaces and experiences","Design,Prototyping,User Research","Design interfaces,Create prototypes,Conduct user testing","Design:https://youtube.com/design,Prototyping:https://youtube.com/prototype"
Cybersecurity Analyst,Tech,"Protects systems from security threats","Security,Networking,Incident Response","Monitor threats,Implement security measures,Investigate incidents","Security:https://youtube.com/security,Networking:https://youtube.com/networking"
AI Engineer,Tech,"Develops artificial intelligence systems","Machine Learning,Python,Deep Learning","Build AI models,Optimize algorithms,Implement solutions","ML:https://youtube.com/ml,Deep Learning:https://youtube.com/dl"
Doctor,Healthcare,"Provides medical care to patients","Medical Knowledge,Diagnosis,Patient Care","Examine patients,Prescribe treatments,Monitor progress","Medical:https://youtube.com/medical,Diagnosis:https://youtube.com/diagnosis"
Nurse,Healthcare,"Provides patient care and support","Patient Care,Medical Procedures,Communication","Administer care,Monitor patients,Document progress","Nursing:https://youtube.com/nursing,Patient Care:https://youtube.com/patientcare"
Pharmacist,Healthcare,"Dispenses medications and provides pharmaceutical care","Medication Knowledge,Patient Counseling,Drug Interactions","Fill prescriptions,Advise patients,Manage inventory","Pharmacy:https://youtube.com/pharmacy,Medications:https://youtube.com/medications"
Physical Therapist,Healthcare,"Helps patients recover physical function","Rehabilitation,Exercise Therapy,Patient Assessment","Develop treatment plans,Guide exercises,Monitor progress","PT:https://youtube.com/pt,Rehab:https://youtube.com/rehab"
Mental Health Counselor,Healthcare,"Provides mental health support and counseling","Counseling,Psychology,Active Listening","Conduct therapy sessions,Develop treatment plans,Provide support","Counseling:https://youtube.com/counseling,Psychology:https://youtube.com/psychology"
Financial Analyst,Finance,"Analyzes financial data and market trends","Financial Analysis,Excel,Market Research","Analyze data,Create reports,Make recommendations","Finance:https://youtube.com/finance,Analysis:https://youtube.com/analysis"
Investment Banker,Finance,"Helps companies raise capital and make investments","Financial Modeling,Deal Making,Market Analysis","Structure deals,Analyze investments,Manage client relationships","Banking:https://youtube.com/banking,Investments:https://youtube.com/investments"
Accountant,Finance,"Manages financial records and transactions","Accounting,Bookkeeping,Tax Preparation","Maintain records,Prepare taxes,Audit accounts","Accounting:https://youtube.com/accounting,Tax:https://youtube.com/tax"
Financial Advisor,Finance,"Provides financial planning and investment advice","Financial Planning,Investment Knowledge,Client Relations","Create plans,Advise clients,Monitor portfolios","Planning:https://youtube.com/planning,Investments:https://youtube.com/investments"
Risk Manager,Finance,"Identifies and manages financial risks","Risk Assessment,Analysis,Regulatory Compliance","Assess risks,Develop strategies,Monitor compliance","Risk:https://youtube.com/risk,Compliance:https://youtube.com/compliance"
Graphic Designer,Arts,"Creates visual content for various media","Design Software,Creativity,Visual Communication","Create designs,Develop concepts,Present work","Design:https://youtube.com/design,Creativity:https://youtube.com/creativity"
Music Producer,Arts,"Creates and produces music","Music Theory,Production Software,Audio Engineering","Record music,Mix tracks,Manage projects","Music:https://youtube.com/music,Production:https://youtube.com/production"
Film Director,Arts,"Directs film and video productions","Storytelling,Cinematography,Leadership","Direct shoots,Guide actors,Manage production","Film:https://youtube.com/film,Directing:https://youtube.com/directing"
Fashion Designer,Arts,"Creates clothing and fashion designs","Design,Pattern Making,Textile Knowledge","Create designs,Develop patterns,Present collections","Fashion:https://youtube.com/fashion,Design:https://youtube.com/design"
Art Director,Arts,"Oversees visual style and creative direction","Visual Design,Art Direction,Project Management","Guide creative vision,Manage teams,Present concepts","Art:https://youtube.com/art,Direction:https://youtube.com/direction"
Teacher,Education,"Educates students in various subjects","Teaching,Curriculum Development,Classroom Management","Plan lessons,Teach classes,Assess students","Teaching:https://youtube.com/teaching,Education:https://youtube.com/education"
School Counselor,Education,"Provides guidance and support to students","Counseling,Student Development,Communication","Guide students,Develop programs,Support families","Counseling:https://youtube.com/counseling,Education:https://youtube.com/education"
Curriculum Developer,Education,"Creates educational programs and materials","Curriculum Design,Educational Theory,Content Development","Design curricula,Create materials,Evaluate programs","Curriculum:https://youtube.com/curriculum,Education:https://youtube.com/education"
Education Administrator,Education,"Manages educational institutions","Leadership,Administration,Policy Development","Manage schools,Develop policies,Supervise staff","Admin:https://youtube.com/admin,Education:https://youtube.com/education"
Special Education Teacher,Education,"Teaches students with special needs","Special Education,Adaptive Teaching,Patience","Develop IEPs,Adapt lessons,Support students","Special Ed:https://youtube.com/specialed,Teaching:https://youtube.com/teaching"
Civil Engineer,Engineering,"Designs and oversees construction projects","Structural Design,Project Management,CAD","Design structures,Manage projects,Ensure safety","Engineering:https://youtube.com/engineering,CAD:https://youtube.com/cad"
Mechanical Engineer,Engineering,"Designs mechanical systems and products","Mechanical Design,Analysis,Manufacturing","Design systems,Test prototypes,Solve problems","Mechanical:https://youtube.com/mechanical,Design:https://youtube.com/design"
Electrical Engineer,Engineering,"Designs electrical systems and equipment","Circuit Design,Power Systems,Electronics","Design circuits,Test systems,Solve problems","Electrical:https://youtube.com/electrical,Circuits:https://youtube.com/circuits"
